snapshot_date,fund_isin,ticker,holdingWeight,newsCount7d,avgSentiment,positiveShare,negativeShare,neutralShare,target_return_5d
2024-09-30,FI0008800511,ATCO-A.ST,6.2,0,0.0,0.0,0.0,0.0,-0.00585388
2024-09-30,FI0008800511,DNB.OL,2.8,0,0.0,0.0,0.0,0.0,0.00369687
2024-09-30,FI0008800511,DNORD.CO,3.2,0,0.0,0.0,0.0,0.0,0.02729887
2024-09-30,FI0008800511,EQNR.OL,4.5,0,0.0,0.0,0.0,0.0,0.04011991
2024-09-30,FI0008800511,ERIC-B.ST,5.2,0,0.0,0.0,0.0,0.0,0.00417101
2024-09-30,FI0008800511,NOKIA.HE,2.2,0,0.0,0.0,0.0,0.0,0.01197756
2024-09-30,FI0008800511,NOVO-B.CO,7.5,0,0.0,0.0,0.0,0.0,0.02109817
2024-09-30,FI0008800511,SAMPO.HE,3.5,0,0.0,0.0,0.0,0.0,-0.02744636
2024-09-30,FI0008800511,SAND.ST,3.8,0,0.0,0.0,0.0,0.0,-0.0145438
2024-09-30,FI0008800511,VOLV-B.ST,8.8,0,0.0,0.0,0.0,0.0,0.01789705
2024-09-30,SE0000740698,ATCO-A.ST,7.8,0,0.0,0.0,0.0,0.0,-0.00585388
2024-09-30,SE0000740698,ELUX-B.ST,2.2,0,0.0,0.0,0.0,0.0,0.04881264
2024-09-30,SE0000740698,ERIC-B.ST,5.5,0,0.0,0.0,0.0,0.0,0.00417101
2024-09-30,SE0000740698,ESSITY-B.ST,3.3,0,0.0,0.0,0.0,0.0,-0.02619119
2024-09-30,SE0000740698,INVE-B.ST,7.2,0,0.0,0.0,0.0,0.0,-0.02015674
2024-09-30,SE0000740698,KINV-B.ST,2.4,0,0.0,0.0,0.0,0.0,-0.03451197
2024-09-30,SE0000740698,SCA-B.ST,2.6,0,0.0,0.0,0.0,0.0,0.00540725
2024-09-30,SE0000740698,SKF-B.ST,2.9,0,0.0,0.0,0.0,0.0,-0.0049505
2024-09-30,SE0000740698,VOLV-B.ST,9.5,0,0.0,0.0,0.0,0.0,0.01789705
